# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Tue Sep 18 10:46:13 PDT 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0016817	molecular_function	hydrolase activity, acting on acid anhydrides	1	1	1.0
GO:0016818	molecular_function	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	1	1	1.0
GO:0044464	cellular_component	cell part	1	1	1.0
GO:1901363	molecular_function	heterocyclic compound binding	1	1	1.0
GO:0098772	molecular_function	molecular function regulator	1	1	1.0
GO:0006950	biological_process	response to stress	1	1	1.0
GO:0044877	molecular_function	macromolecular complex binding	1	1	1.0
GO:0009892	biological_process	negative regulation of metabolic process	1	1	1.0
GO:0032549	molecular_function	ribonucleoside binding	1	1	1.0
GO:0032550	molecular_function	purine ribonucleoside binding	1	1	1.0
GO:0008150	biological_process	biological_process	1	1	1.0
GO:0032553	molecular_function	ribonucleotide binding	1	1	1.0
GO:0050896	biological_process	response to stimulus	1	1	1.0
GO:0032555	molecular_function	purine ribonucleotide binding	1	1	1.0
GO:0030234	molecular_function	enzyme regulator activity	1	1	1.0
GO:0044092	biological_process	negative regulation of molecular function	1	1	1.0
GO:0032559	molecular_function	adenyl ribonucleotide binding	1	1	1.0
GO:0006979	biological_process	response to oxidative stress	1	1	1.0
GO:0019222	biological_process	regulation of metabolic process	1	1	1.0
GO:0032561	molecular_function	guanyl ribonucleotide binding	1	1	1.0
GO:1901265	molecular_function	nucleoside phosphate binding	1	1	1.0
GO:0036094	molecular_function	small molecule binding	1	1	1.0
GO:0004857	molecular_function	enzyme inhibitor activity	1	1	1.0
GO:0005575	cellular_component	cellular_component	1	1	1.0
GO:0030554	molecular_function	adenyl nucleotide binding	1	1	1.0
GO:0005488	molecular_function	binding	1	1	1.0
GO:0043167	molecular_function	ion binding	1	1	1.0
GO:0043168	molecular_function	anion binding	1	1	1.0
GO:0000166	molecular_function	nucleotide binding	1	1	1.0
GO:0043169	molecular_function	cation binding	1	1	1.0
GO:0043021	molecular_function	ribonucleoprotein complex binding	1	1	1.0
GO:0043022	molecular_function	ribosome binding	1	1	1.0
GO:0097367	molecular_function	carbohydrate derivative binding	1	1	1.0
GO:0043023	molecular_function	ribosomal large subunit binding	1	1	1.0
GO:0048519	biological_process	negative regulation of biological process	1	1	1.0
GO:0017111	molecular_function	nucleoside-triphosphatase activity	1	1	1.0
GO:0016462	molecular_function	pyrophosphatase activity	1	1	1.0
GO:0046872	molecular_function	metal ion binding	1	1	1.0
GO:0003674	molecular_function	molecular_function	1	1	1.0
GO:0005737	cellular_component	cytoplasm	1	1	1.0
GO:0050789	biological_process	regulation of biological process	1	1	1.0
GO:0050790	biological_process	regulation of catalytic activity	1	1	1.0
GO:0005524	molecular_function	ATP binding	1	1	1.0
GO:0017076	molecular_function	purine nucleotide binding	1	1	1.0
GO:0005525	molecular_function	GTP binding	1	1	1.0
GO:0016887	molecular_function	ATPase activity	1	1	1.0
GO:0044424	cellular_component	intracellular part	1	1	1.0
GO:0065007	biological_process	biological regulation	1	1	1.0
GO:0065009	biological_process	regulation of molecular function	1	1	1.0
GO:0019001	molecular_function	guanyl nucleotide binding	1	1	1.0
GO:0016787	molecular_function	hydrolase activity	1	1	1.0
GO:0005515	molecular_function	protein binding	1	1	1.0
GO:0001882	molecular_function	nucleoside binding	1	1	1.0
GO:0003824	molecular_function	catalytic activity	1	1	1.0
GO:0035639	molecular_function	purine ribonucleoside triphosphate binding	1	1	1.0
GO:0001883	molecular_function	purine nucleoside binding	1	1	1.0
GO:0097159	molecular_function	organic cyclic compound binding	1	1	1.0
GO:0043086	biological_process	negative regulation of catalytic activity	1	1	1.0
