# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Wed Nov 28 14:20:13 PST 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0001501	biological_process	skeletal system development	3	3	1.0
GO:0016918	molecular_function	retinal binding	3	3	1.0
GO:0048878	biological_process	chemical homeostasis	3	3	1.0
GO:0042127	biological_process	regulation of cell proliferation	3	3	1.0
GO:0016202	biological_process	regulation of striated muscle tissue development	3	3	1.0
GO:0051023	biological_process	regulation of immunoglobulin secretion	3	3	1.0
GO:0051024	biological_process	positive regulation of immunoglobulin secretion	3	3	1.0
GO:0090087	biological_process	regulation of peptide transport	3	3	1.0
GO:0001523	biological_process	retinoid metabolic process	3	3	1.0
GO:0046620	biological_process	regulation of organ growth	3	3	1.0
GO:0046621	biological_process	negative regulation of organ growth	3	3	1.0
GO:0008150	biological_process	biological_process	3	3	1.0
GO:0046983	molecular_function	protein dimerization activity	3	3	1.0
GO:0010817	biological_process	regulation of hormone levels	3	3	1.0
GO:0051046	biological_process	regulation of secretion	3	3	1.0
GO:0051047	biological_process	positive regulation of secretion	3	3	1.0
GO:0033993	biological_process	response to lipid	3	3	1.0
GO:0051049	biological_process	regulation of transport	3	3	1.0
GO:0051050	biological_process	positive regulation of transport	3	3	1.0
GO:0036094	molecular_function	small molecule binding	3	3	1.0
GO:0005615	cellular_component	extracellular space	3	3	1.0
GO:0060157	biological_process	urinary bladder development	3	3	1.0
GO:0006720	biological_process	isoprenoid metabolic process	3	3	1.0
GO:0006721	biological_process	terpenoid metabolic process	3	3	1.0
GO:0033500	biological_process	carbohydrate homeostasis	3	3	1.0
GO:0032991	cellular_component	macromolecular complex	3	3	1.0
GO:0008152	biological_process	metabolic process	3	3	1.0
GO:0030277	biological_process	maintenance of gastrointestinal epithelium	3	3	1.0
GO:0051093	biological_process	negative regulation of developmental process	3	3	1.0
GO:0002637	biological_process	regulation of immunoglobulin production	3	3	1.0
GO:0002639	biological_process	positive regulation of immunoglobulin production	3	3	1.0
GO:0044421	cellular_component	extracellular region part	3	3	1.0
GO:0044424	cellular_component	intracellular part	3	3	1.0
GO:1903530	biological_process	regulation of secretion by cell	3	3	1.0
GO:0065007	biological_process	biological regulation	3	3	1.0
GO:1903532	biological_process	positive regulation of secretion by cell	3	3	1.0
GO:0042221	biological_process	response to chemical	3	3	1.0
GO:0065008	biological_process	regulation of biological quality	3	3	1.0
GO:0065010	cellular_component	extracellular membrane-bounded organelle	3	3	1.0
GO:0035112	biological_process	genitalia morphogenesis	3	3	1.0
GO:0009653	biological_process	anatomical structure morphogenesis	3	3	1.0
GO:0032501	biological_process	multicellular organismal process	3	3	1.0
GO:0032502	biological_process	developmental process	3	3	1.0
GO:0044444	cellular_component	cytoplasmic part	3	3	1.0
GO:0031982	cellular_component	vesicle	3	3	1.0
GO:0030324	biological_process	lung development	3	3	1.0
GO:0031988	cellular_component	membrane-bounded vesicle	3	3	1.0
GO:1903561	cellular_component	extracellular vesicle	3	3	1.0
GO:0044464	cellular_component	cell part	3	3	1.0
GO:0002682	biological_process	regulation of immune system process	3	3	1.0
GO:0032526	biological_process	response to retinoic acid	3	3	1.0
GO:0002684	biological_process	positive regulation of immune system process	3	3	1.0
GO:0060249	biological_process	anatomical structure homeostasis	3	3	1.0
GO:0006810	biological_process	transport	3	3	1.0
GO:0002697	biological_process	regulation of immune effector process	3	3	1.0
GO:0001654	biological_process	eye development	3	3	1.0
GO:0002699	biological_process	positive regulation of immune effector process	3	3	1.0
GO:0048646	biological_process	anatomical structure formation involved in morphogenesis	3	3	1.0
GO:0002700	biological_process	regulation of production of molecular mediator of immune response	3	3	1.0
GO:0002702	biological_process	positive regulation of production of molecular mediator of immune response	3	3	1.0
GO:0034632	molecular_function	retinol transporter activity	3	3	1.0
GO:0034633	biological_process	retinol transport	3	3	1.0
GO:0008285	biological_process	negative regulation of cell proliferation	3	3	1.0
GO:0009887	biological_process	organ morphogenesis	3	3	1.0
GO:0009888	biological_process	tissue development	3	3	1.0
GO:0032024	biological_process	positive regulation of insulin secretion	3	3	1.0
GO:0051183	molecular_function	vitamin transporter activity	3	3	1.0
GO:0051179	biological_process	localization	3	3	1.0
GO:0070062	cellular_component	extracellular exosome	3	3	1.0
GO:0050877	biological_process	neurological system process	3	3	1.0
GO:0022414	biological_process	reproductive process	3	3	1.0
GO:0022600	biological_process	digestive system process	3	3	1.0
GO:1902578	biological_process	single-organism localization	3	3	1.0
GO:0007423	biological_process	sensory organ development	3	3	1.0
GO:0048513	biological_process	organ development	3	3	1.0
GO:0046887	biological_process	positive regulation of hormone secretion	3	3	1.0
GO:0051222	biological_process	positive regulation of protein transport	3	3	1.0
GO:0051223	biological_process	regulation of protein transport	3	3	1.0
GO:0048518	biological_process	positive regulation of biological process	3	3	1.0
GO:0048519	biological_process	negative regulation of biological process	3	3	1.0
GO:0048522	biological_process	positive regulation of cellular process	3	3	1.0
GO:0051234	biological_process	establishment of localization	3	3	1.0
GO:0048523	biological_process	negative regulation of cellular process	3	3	1.0
GO:0006869	biological_process	lipid transport	3	3	1.0
GO:0051239	biological_process	regulation of multicellular organismal process	3	3	1.0
GO:0051241	biological_process	negative regulation of multicellular organismal process	3	3	1.0
GO:0015850	biological_process	organic hydroxy compound transport	3	3	1.0
GO:0090276	biological_process	regulation of peptide hormone secretion	3	3	1.0
GO:0090277	biological_process	positive regulation of peptide hormone secretion	3	3	1.0
GO:0046864	biological_process	isoprenoid transport	3	3	1.0
GO:0046865	biological_process	terpenoid transport	3	3	1.0
GO:1901576	biological_process	organic substance biosynthetic process	3	3	1.0
GO:0005576	cellular_component	extracellular region	3	3	1.0
GO:0046883	biological_process	regulation of hormone secretion	3	3	1.0
GO:0005829	cellular_component	cytosol	3	3	1.0
GO:0048562	biological_process	embryonic organ morphogenesis	3	3	1.0
GO:0060341	biological_process	regulation of cellular localization	3	3	1.0
GO:0060343	biological_process	trabecula formation	3	3	1.0
GO:0002791	biological_process	regulation of peptide secretion	3	3	1.0
GO:0060347	biological_process	heart trabecula formation	3	3	1.0
GO:0002793	biological_process	positive regulation of peptide secretion	3	3	1.0
GO:0005515	molecular_function	protein binding	3	3	1.0
GO:0009987	biological_process	cellular process	3	3	1.0
