# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Mon Sep 24 19:41:37 PDT 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0009205	biological_process	purine ribonucleoside triphosphate metabolic process	5	5	1.0
GO:1901360	biological_process	organic cyclic compound metabolic process	5	5	1.0
GO:0016829	molecular_function	lyase activity	5	5	1.0
GO:0016830	molecular_function	carbon-carbon lyase activity	5	5	1.0
GO:0046939	biological_process	nucleotide phosphorylation	5	5	1.0
GO:0016832	molecular_function	aldehyde-lyase activity	5	5	1.0
GO:0006139	biological_process	nucleobase-containing compound metabolic process	5	5	1.0
GO:0008150	biological_process	biological_process	5	5	1.0
GO:0006163	biological_process	purine nucleotide metabolic process	5	5	1.0
GO:0042278	biological_process	purine nucleoside metabolic process	5	5	1.0
GO:0046364	biological_process	monosaccharide biosynthetic process	5	5	1.0
GO:0019362	biological_process	pyridine nucleotide metabolic process	5	5	1.0
GO:0019637	biological_process	organophosphate metabolic process	5	5	1.0
GO:1901135	biological_process	carbohydrate derivative metabolic process	5	5	1.0
GO:1901657	biological_process	glycosyl compound metabolic process	5	5	1.0
GO:0006165	biological_process	nucleoside diphosphate phosphorylation	5	5	1.0
GO:0046128	biological_process	purine ribonucleoside metabolic process	5	5	1.0
GO:0005618	cellular_component	cell wall	5	5	1.0
GO:0005575	cellular_component	cellular_component	5	5	1.0
GO:0009259	biological_process	ribonucleotide metabolic process	5	5	1.0
GO:0006725	biological_process	cellular aromatic compound metabolic process	5	5	1.0
GO:0008152	biological_process	metabolic process	5	5	1.0
GO:0006732	biological_process	coenzyme metabolic process	5	5	1.0
GO:0006733	biological_process	oxidoreduction coenzyme metabolic process	5	5	1.0
GO:0003674	molecular_function	molecular_function	5	5	1.0
GO:0005886	cellular_component	plasma membrane	5	5	1.0
GO:0006753	biological_process	nucleoside phosphate metabolic process	5	5	1.0
GO:0006757	biological_process	ATP generation from ADP	5	5	1.0
GO:0044424	cellular_component	intracellular part	5	5	1.0
GO:0019693	biological_process	ribose phosphate metabolic process	5	5	1.0
GO:0016310	biological_process	phosphorylation	5	5	1.0
GO:0044699	biological_process	single-organism process	5	5	1.0
GO:0055086	biological_process	nucleobase-containing small molecule metabolic process	5	5	1.0
GO:0030312	cellular_component	external encapsulating structure	5	5	1.0
GO:0044444	cellular_component	cytoplasmic part	5	5	1.0
GO:0005975	biological_process	carbohydrate metabolic process	5	5	1.0
GO:0009056	biological_process	catabolic process	5	5	1.0
GO:0044710	biological_process	single-organism metabolic process	5	5	1.0
GO:0044711	biological_process	single-organism biosynthetic process	5	5	1.0
GO:0044712	biological_process	single-organism catabolic process	5	5	1.0
GO:0009058	biological_process	biosynthetic process	5	5	1.0
GO:0006793	biological_process	phosphorus metabolic process	5	5	1.0
GO:0006796	biological_process	phosphate-containing compound metabolic process	5	5	1.0
GO:0032787	biological_process	monocarboxylic acid metabolic process	5	5	1.0
GO:0044723	biological_process	single-organism carbohydrate metabolic process	5	5	1.0
GO:0044464	cellular_component	cell part	5	5	1.0
GO:0044724	biological_process	single-organism carbohydrate catabolic process	5	5	1.0
GO:0016051	biological_process	carbohydrate biosynthetic process	5	5	1.0
GO:0016052	biological_process	carbohydrate catabolic process	5	5	1.0
GO:0005996	biological_process	monosaccharide metabolic process	5	5	1.0
GO:0006807	biological_process	nitrogen compound metabolic process	5	5	1.0
GO:0008270	molecular_function	zinc ion binding	5	5	1.0
GO:0019752	biological_process	carboxylic acid metabolic process	5	5	1.0
GO:0006006	biological_process	glucose metabolic process	5	5	1.0
GO:0046483	biological_process	heterocycle metabolic process	5	5	1.0
GO:0034641	biological_process	cellular nitrogen compound metabolic process	5	5	1.0
GO:0051186	biological_process	cofactor metabolic process	5	5	1.0
GO:0046496	biological_process	nicotinamide nucleotide metabolic process	5	5	1.0
GO:0043436	biological_process	oxoacid metabolic process	5	5	1.0
