# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Wed Nov 28 14:13:00 PST 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0032941	biological_process	secretion by tissue	2	2	1.0
GO:0019899	molecular_function	enzyme binding	2	2	1.0
GO:0098772	molecular_function	molecular function regulator	2	2	1.0
GO:0006950	biological_process	response to stress	2	2	1.0
GO:0006954	biological_process	inflammatory response	2	2	1.0
GO:0006955	biological_process	immune response	2	2	1.0
GO:0008150	biological_process	biological_process	2	2	1.0
GO:0051336	biological_process	regulation of hydrolase activity	2	2	1.0
GO:0072562	cellular_component	blood microparticle	2	2	1.0
GO:0044092	biological_process	negative regulation of molecular function	2	2	1.0
GO:0030234	molecular_function	enzyme regulator activity	2	2	1.0
GO:0051346	biological_process	negative regulation of hydrolase activity	2	2	1.0
GO:0005615	cellular_component	extracellular space	2	2	1.0
GO:0005575	cellular_component	cellular_component	2	2	1.0
GO:0045861	biological_process	negative regulation of proteolysis	2	2	1.0
GO:0006464	biological_process	cellular protein modification process	2	2	1.0
GO:0008152	biological_process	metabolic process	2	2	1.0
GO:1901681	molecular_function	sulfur compound binding	2	2	1.0
GO:0003674	molecular_function	molecular_function	2	2	1.0
GO:0031667	biological_process	response to nutrient levels	2	2	1.0
GO:0005886	cellular_component	plasma membrane	2	2	1.0
GO:0061135	molecular_function	endopeptidase regulator activity	2	2	1.0
GO:0010605	biological_process	negative regulation of macromolecule metabolic process	2	2	1.0
GO:0002376	biological_process	immune system process	2	2	1.0
GO:0007584	biological_process	response to nutrient	2	2	1.0
GO:0008201	molecular_function	heparin binding	2	2	1.0
GO:0050789	biological_process	regulation of biological process	2	2	1.0
GO:0007589	biological_process	body fluid secretion	2	2	1.0
GO:0050790	biological_process	regulation of catalytic activity	2	2	1.0
GO:0046903	biological_process	secretion	2	2	1.0
GO:0050794	biological_process	regulation of cellular process	2	2	1.0
GO:0044421	cellular_component	extracellular region part	2	2	1.0
GO:0044422	cellular_component	organelle part	2	2	1.0
GO:0044424	cellular_component	intracellular part	2	2	1.0
GO:0007595	biological_process	lactation	2	2	1.0
GO:0007599	biological_process	hemostasis	2	2	1.0
GO:0065007	biological_process	biological regulation	2	2	1.0
GO:0044432	cellular_component	endoplasmic reticulum part	2	2	1.0
GO:0065008	biological_process	regulation of biological quality	2	2	1.0
GO:0042221	biological_process	response to chemical	2	2	1.0
GO:0065009	biological_process	regulation of molecular function	2	2	1.0
