# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Wed Nov 28 14:05:23 PST 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0031328	biological_process	positive regulation of cellular biosynthetic process	2	2	1.0
GO:0001503	biological_process	ossification	2	2	1.0
GO:0060627	biological_process	regulation of vesicle-mediated transport	2	2	1.0
GO:0051591	biological_process	response to cAMP	2	2	1.0
GO:0098771	biological_process	inorganic ion homeostasis	2	2	1.0
GO:0098772	molecular_function	molecular function regulator	2	2	1.0
GO:0002573	biological_process	myeloid leukocyte differentiation	2	2	1.0
GO:0019897	cellular_component	extrinsic component of plasma membrane	2	2	1.0
GO:0002576	biological_process	platelet degranulation	2	2	1.0
GO:0006139	biological_process	nucleobase-containing compound metabolic process	2	2	1.0
GO:0007257	biological_process	activation of JUN kinase activity	2	2	1.0
GO:2000307	biological_process	regulation of tumor necrosis factor (ligand) superfamily member 11 production	2	2	1.0
GO:2000308	biological_process	negative regulation of tumor necrosis factor (ligand) superfamily member 11 production	2	2	1.0
GO:0030234	molecular_function	enzyme regulator activity	2	2	1.0
GO:0001530	molecular_function	lipopolysaccharide binding	2	2	1.0
GO:0098796	cellular_component	membrane protein complex	2	2	1.0
GO:0098797	cellular_component	plasma membrane protein complex	2	2	1.0
GO:0098802	cellular_component	plasma membrane receptor complex	2	2	1.0
GO:0015682	biological_process	ferric iron transport	2	2	1.0
GO:0098805	cellular_component	whole membrane	2	2	1.0
GO:0015684	biological_process	ferrous iron transport	2	2	1.0
GO:0035580	cellular_component	specific granule lumen	2	2	1.0
GO:0008152	biological_process	metabolic process	2	2	1.0
GO:0031399	biological_process	regulation of protein modification process	2	2	1.0
GO:0031401	biological_process	positive regulation of protein modification process	2	2	1.0
GO:0051649	biological_process	establishment of localization in cell	2	2	1.0
GO:0051651	biological_process	maintenance of location in cell	2	2	1.0
GO:0045055	biological_process	regulated secretory pathway	2	2	1.0
GO:0030278	biological_process	regulation of ossification	2	2	1.0
GO:0016192	biological_process	vesicle-mediated transport	2	2	1.0
GO:0007165	biological_process	signal transduction	2	2	1.0
GO:0000041	biological_process	transition metal ion transport	2	2	1.0
GO:0031410	cellular_component	cytoplasmic vesicle	2	2	1.0
GO:0061135	molecular_function	endopeptidase regulator activity	2	2	1.0
GO:0046903	biological_process	secretion	2	2	1.0
GO:0045069	biological_process	regulation of viral genome replication	2	2	1.0
GO:0045071	biological_process	negative regulation of viral genome replication	2	2	1.0
GO:0030295	molecular_function	protein kinase activator activity	2	2	1.0
GO:0051673	biological_process	membrane disruption in other organism	2	2	1.0
GO:1903010	biological_process	regulation of bone development	2	2	1.0
GO:1903011	biological_process	negative regulation of bone development	2	2	1.0
GO:1903012	biological_process	positive regulation of bone development	2	2	1.0
GO:0065007	biological_process	biological regulation	2	2	1.0
GO:0097013	cellular_component	phagocytic vesicle lumen	2	2	1.0
GO:0065008	biological_process	regulation of biological quality	2	2	1.0
GO:0065009	biological_process	regulation of molecular function	2	2	1.0
GO:0065010	cellular_component	extracellular membrane-bounded organelle	2	2	1.0
GO:0032496	biological_process	response to lipopolysaccharide	2	2	1.0
GO:0043900	biological_process	regulation of multi-organism process	2	2	1.0
GO:0009653	biological_process	anatomical structure morphogenesis	2	2	1.0
GO:0045087	biological_process	innate immune response	2	2	1.0
GO:0043901	biological_process	negative regulation of multi-organism process	2	2	1.0
GO:0032501	biological_process	multicellular organismal process	2	2	1.0
GO:0043903	biological_process	regulation of symbiosis, encompassing mutualism through parasitism	2	2	1.0
GO:0032502	biological_process	developmental process	2	2	1.0
GO:0030316	biological_process	osteoclast differentiation	2	2	1.0
GO:0070013	cellular_component	intracellular organelle lumen	2	2	1.0
GO:0051702	biological_process	interaction with symbiont	2	2	1.0
GO:1990267	biological_process	response to transition metal nanoparticle	2	2	1.0
GO:0051704	biological_process	multi-organism process	2	2	1.0
GO:0002682	biological_process	regulation of immune system process	2	2	1.0
GO:0035556	biological_process	intracellular signal transduction	2	2	1.0
GO:0033572	biological_process	transferrin transport	2	2	1.0
GO:0002683	biological_process	negative regulation of immune system process	2	2	1.0
GO:0002684	biological_process	positive regulation of immune system process	2	2	1.0
GO:0099587	biological_process	inorganic ion import into cell	2	2	1.0
GO:0051716	biological_process	cellular response to stimulus	2	2	1.0
GO:0043933	biological_process	macromolecular complex subunit organization	2	2	1.0
GO:0045124	biological_process	regulation of bone resorption	2	2	1.0
GO:0008104	biological_process	protein localization	2	2	1.0
GO:0048471	cellular_component	perinuclear region of cytoplasm	2	2	1.0
GO:0009889	biological_process	regulation of biosynthetic process	2	2	1.0
GO:0009891	biological_process	positive regulation of biosynthetic process	2	2	1.0
GO:0009892	biological_process	negative regulation of metabolic process	2	2	1.0
GO:0009893	biological_process	positive regulation of metabolic process	2	2	1.0
GO:0046873	molecular_function	metal ion transmembrane transporter activity	2	2	1.0
GO:0009887	biological_process	organ morphogenesis	2	2	1.0
GO:0001666	biological_process	response to hypoxia	2	2	1.0
GO:0010941	biological_process	regulation of cell death	2	2	1.0
GO:0070062	cellular_component	extracellular exosome	2	2	1.0
GO:0034641	biological_process	cellular nitrogen compound metabolic process	2	2	1.0
GO:0034645	biological_process	cellular macromolecule biosynthetic process	2	2	1.0
GO:0010951	biological_process	negative regulation of endopeptidase activity	2	2	1.0
GO:0034654	biological_process	nucleobase-containing compound biosynthetic process	2	2	1.0
GO:0009925	cellular_component	basal plasma membrane	2	2	1.0
GO:0045178	cellular_component	basal part of cell	2	2	1.0
GO:0080090	biological_process	regulation of primary metabolic process	2	2	1.0
