# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Wed Nov 28 14:04:18 PST 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0031329	biological_process	regulation of cellular catabolic process	4	4	1.0
GO:0090068	biological_process	positive regulation of cell cycle process	4	4	1.0
GO:0031331	biological_process	positive regulation of cellular catabolic process	4	4	1.0
GO:1901363	molecular_function	heterocyclic compound binding	4	4	1.0
GO:0008150	biological_process	biological_process	4	4	1.0
GO:0070979	biological_process	protein K11-linked ubiquitination	4	4	1.0
GO:0032434	biological_process	regulation of proteasomal ubiquitin-dependent protein catabolic process	4	4	1.0
GO:0036094	molecular_function	small molecule binding	4	4	1.0
GO:0032446	biological_process	protein modification by small protein conjugation	4	4	1.0
GO:0042176	biological_process	regulation of protein catabolic process	4	4	1.0
GO:0032991	cellular_component	macromolecular complex	4	4	1.0
GO:0044389	molecular_function	ubiquitin-like protein ligase binding	4	4	1.0
GO:0008152	biological_process	metabolic process	4	4	1.0
GO:0031396	biological_process	regulation of protein ubiquitination	4	4	1.0
GO:0031397	biological_process	negative regulation of protein ubiquitination	4	4	1.0
GO:0031398	biological_process	positive regulation of protein ubiquitination	4	4	1.0
GO:0031399	biological_process	regulation of protein modification process	4	4	1.0
GO:0031400	biological_process	negative regulation of protein modification process	4	4	1.0
GO:0031401	biological_process	positive regulation of protein modification process	4	4	1.0
GO:0005737	cellular_component	cytoplasm	4	4	1.0
GO:0005886	cellular_component	plasma membrane	4	4	1.0
GO:0005654	cellular_component	nucleoplasm	4	4	1.0
GO:0044422	cellular_component	organelle part	4	4	1.0
GO:0044424	cellular_component	intracellular part	4	4	1.0
GO:1990234	cellular_component	transferase complex	4	4	1.0
GO:1902494	cellular_component	catalytic complex	4	4	1.0
GO:0044428	cellular_component	nuclear part	4	4	1.0
GO:0065003	biological_process	macromolecular complex assembly	4	4	1.0
GO:0065007	biological_process	biological regulation	4	4	1.0
GO:0065009	biological_process	regulation of molecular function	4	4	1.0
GO:0007346	biological_process	regulation of mitotic cell cycle	4	4	1.0
GO:0005680	cellular_component	anaphase-promoting complex	4	4	1.0
GO:0044444	cellular_component	cytoplasmic part	4	4	1.0
GO:0051128	biological_process	regulation of cellular component organization	4	4	1.0
GO:0033043	biological_process	regulation of organelle organization	4	4	1.0
GO:0044446	cellular_component	intracellular organelle part	4	4	1.0
GO:0051130	biological_process	positive regulation of cellular component organization	4	4	1.0
GO:0035639	molecular_function	purine ribonucleoside triphosphate binding	4	4	1.0
GO:1901987	biological_process	regulation of cell cycle phase transition	4	4	1.0
GO:1901989	biological_process	positive regulation of cell cycle phase transition	4	4	1.0
GO:1901990	biological_process	regulation of mitotic cell cycle phase transition	4	4	1.0
GO:1901992	biological_process	positive regulation of mitotic cell cycle phase transition	4	4	1.0
GO:0044464	cellular_component	cell part	4	4	1.0
GO:1903047	biological_process	mitotic cell cycle process	4	4	1.0
GO:0031461	cellular_component	cullin-RING ubiquitin ligase complex	4	4	1.0
GO:1903050	biological_process	regulation of proteolysis involved in cellular protein catabolic process	4	4	1.0
GO:0043933	biological_process	macromolecular complex subunit organization	4	4	1.0
GO:1903052	biological_process	positive regulation of proteolysis involved in cellular protein catabolic process	4	4	1.0
GO:0043412	biological_process	macromolecule modification	4	4	1.0
GO:0034622	biological_process	cellular macromolecular complex assembly	4	4	1.0
GO:0060255	biological_process	regulation of macromolecule metabolic process	4	4	1.0
GO:0022607	biological_process	cellular component assembly	4	4	1.0
GO:0009892	biological_process	negative regulation of metabolic process	4	4	1.0
GO:0009893	biological_process	positive regulation of metabolic process	4	4	1.0
GO:0009894	biological_process	regulation of catabolic process	4	4	1.0
GO:0009896	biological_process	positive regulation of catabolic process	4	4	1.0
GO:0032549	molecular_function	ribonucleoside binding	4	4	1.0
GO:0032550	molecular_function	purine ribonucleoside binding	4	4	1.0
GO:0022402	biological_process	cell cycle process	4	4	1.0
GO:0032553	molecular_function	ribonucleotide binding	4	4	1.0
GO:0032555	molecular_function	purine ribonucleotide binding	4	4	1.0
GO:0036211	biological_process	protein modification process	4	4	1.0
GO:0032559	molecular_function	adenyl ribonucleotide binding	4	4	1.0
GO:0000151	cellular_component	ubiquitin ligase complex	4	4	1.0
GO:0000152	cellular_component	nuclear ubiquitin ligase complex	4	4	1.0
GO:0080090	biological_process	regulation of primary metabolic process	4	4	1.0
GO:1904666	biological_process	regulation of ubiquitin protein ligase activity	4	4	1.0
GO:1904668	biological_process	positive regulation of ubiquitin protein ligase activity	4	4	1.0
GO:0000166	molecular_function	nucleotide binding	4	4	1.0
GO:0010458	biological_process	exit from mitosis	4	4	1.0
GO:0051781	biological_process	positive regulation of cell division	4	4	1.0
GO:0048518	biological_process	positive regulation of biological process	4	4	1.0
GO:0048519	biological_process	negative regulation of biological process	4	4	1.0
GO:0051783	biological_process	regulation of nuclear division	4	4	1.0
GO:0051785	biological_process	positive regulation of nuclear division	4	4	1.0
GO:0048522	biological_process	positive regulation of cellular process	4	4	1.0
GO:0048523	biological_process	negative regulation of cellular process	4	4	1.0
GO:0045732	biological_process	positive regulation of protein catabolic process	4	4	1.0
GO:0031536	biological_process	positive regulation of exit from mitosis	4	4	1.0
GO:0051246	biological_process	regulation of protein metabolic process	4	4	1.0
GO:0019538	biological_process	protein metabolic process	4	4	1.0
GO:0051247	biological_process	positive regulation of protein metabolic process	4	4	1.0
GO:0051248	biological_process	negative regulation of protein metabolic process	4	4	1.0
GO:0010994	biological_process	free ubiquitin chain polymerization	4	4	1.0
GO:0017076	molecular_function	purine nucleotide binding	4	4	1.0
GO:0051258	biological_process	protein polymerization	4	4	1.0
GO:1901575	biological_process	organic substance catabolic process	4	4	1.0
GO:0070647	biological_process	protein modification by small protein conjugation or removal	4	4	1.0
GO:1902099	biological_process	regulation of metaphase/anaphase transition of cell cycle	4	4	1.0
GO:0005829	cellular_component	cytosol	4	4	1.0
GO:0010498	biological_process	proteasomal protein catabolic process	4	4	1.0
