# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Wed Nov 28 13:52:23 PST 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0031329	biological_process	regulation of cellular catabolic process	3	3	1.0
GO:0015630	cellular_component	microtubule cytoskeleton	3	3	1.0
GO:0015631	molecular_function	tubulin binding	3	3	1.0
GO:0031334	biological_process	positive regulation of protein complex assembly	3	3	1.0
GO:0032403	molecular_function	protein complex binding	3	3	1.0
GO:0060632	biological_process	regulation of microtubule-based movement	3	3	1.0
GO:0098772	molecular_function	molecular function regulator	3	3	1.0
GO:0031344	biological_process	regulation of cell projection organization	3	3	1.0
GO:0031346	biological_process	positive regulation of cell projection organization	3	3	1.0
GO:0048311	biological_process	mitochondrion distribution	3	3	1.0
GO:0048312	biological_process	intracellular distribution of mitochondria	3	3	1.0
GO:0044877	molecular_function	macromolecular complex binding	3	3	1.0
GO:0019896	biological_process	axon transport of mitochondrion	3	3	1.0
GO:0019900	molecular_function	kinase binding	3	3	1.0
GO:0019901	molecular_function	protein kinase binding	3	3	1.0
GO:0051604	biological_process	protein maturation	3	3	1.0
GO:0019902	molecular_function	phosphatase binding	3	3	1.0
GO:0019903	molecular_function	protein phosphatase binding	3	3	1.0
GO:0019904	molecular_function	protein domain specific binding	3	3	1.0
GO:0046983	molecular_function	protein dimerization activity	3	3	1.0
GO:0010821	biological_process	regulation of mitochondrion organization	3	3	1.0
GO:0010823	biological_process	negative regulation of mitochondrion organization	3	3	1.0
GO:0051640	biological_process	organelle localization	3	3	1.0
GO:0051641	biological_process	cellular localization	3	3	1.0
GO:0008152	biological_process	metabolic process	3	3	1.0
GO:0016049	biological_process	cell growth	3	3	1.0
GO:0001558	biological_process	regulation of cell growth	3	3	1.0
GO:0051646	biological_process	mitochondrion localization	3	3	1.0
GO:0042750	biological_process	hibernation	3	3	1.0
GO:0051649	biological_process	establishment of localization in cell	3	3	1.0
GO:1902988	biological_process	neurofibrillary tangle assembly	3	3	1.0
GO:0051654	biological_process	establishment of mitochondrion localization	3	3	1.0
GO:0005886	cellular_component	plasma membrane	3	3	1.0
GO:0051656	biological_process	establishment of organelle localization	3	3	1.0
GO:0007165	biological_process	signal transduction	3	3	1.0
GO:0090659	biological_process	walking behavior	3	3	1.0
GO:0007010	biological_process	cytoskeleton organization	3	3	1.0
GO:0065003	biological_process	macromolecular complex assembly	3	3	1.0
GO:0065007	biological_process	biological regulation	3	3	1.0
GO:0065008	biological_process	regulation of biological quality	3	3	1.0
GO:0065009	biological_process	regulation of molecular function	3	3	1.0
GO:0030307	biological_process	positive regulation of cell growth	3	3	1.0
GO:0009653	biological_process	anatomical structure morphogenesis	3	3	1.0
GO:0007017	biological_process	microtubule-based process	3	3	1.0
GO:0032501	biological_process	multicellular organismal process	3	3	1.0
GO:0032502	biological_process	developmental process	3	3	1.0
GO:2000377	biological_process	regulation of reactive oxygen species metabolic process	3	3	1.0
GO:0042803	molecular_function	protein homodimerization activity	3	3	1.0
GO:0051260	biological_process	protein homooligomerization	3	3	1.0
GO:0051704	biological_process	multi-organism process	3	3	1.0
GO:0034605	biological_process	cellular response to heat	3	3	1.0
GO:0035556	biological_process	intracellular signal transduction	3	3	1.0
GO:0051716	biological_process	cellular response to stimulus	3	3	1.0
GO:0043933	biological_process	macromolecular complex subunit organization	3	3	1.0
GO:0010917	biological_process	negative regulation of mitochondrial membrane potential	3	3	1.0
GO:0051721	molecular_function	protein phosphatase 2A binding	3	3	1.0
GO:0022607	biological_process	cellular component assembly	3	3	1.0
GO:0009892	biological_process	negative regulation of metabolic process	3	3	1.0
GO:0009893	biological_process	positive regulation of metabolic process	3	3	1.0
GO:0009894	biological_process	regulation of catabolic process	3	3	1.0
GO:1904115	cellular_component	axon cytoplasm	3	3	1.0
GO:0009898	cellular_component	cytoplasmic side of plasma membrane	3	3	1.0
GO:0010941	biological_process	regulation of cell death	3	3	1.0
GO:0050877	biological_process	neurological system process	3	3	1.0
GO:0010942	biological_process	positive regulation of cell death	3	3	1.0
GO:0034643	biological_process	establishment of mitochondrion localization, microtubule-mediated	3	3	1.0
GO:0007409	biological_process	axonogenesis	3	3	1.0
GO:0010950	biological_process	positive regulation of endopeptidase activity	3	3	1.0
GO:0010952	biological_process	positive regulation of peptidase activity	3	3	1.0
GO:0007416	biological_process	synapse assembly	3	3	1.0
GO:0007420	biological_process	brain development	3	3	1.0
GO:0080090	biological_process	regulation of primary metabolic process	3	3	1.0
GO:0048513	biological_process	organ development	3	3	1.0
GO:0032589	cellular_component	neuron projection membrane	3	3	1.0
GO:0010970	biological_process	microtubule-based transport	3	3	1.0
GO:0048518	biological_process	positive regulation of biological process	3	3	1.0
GO:0048519	biological_process	negative regulation of biological process	3	3	1.0
GO:0010975	biological_process	regulation of neuron projection development	3	3	1.0
GO:0010976	biological_process	positive regulation of neuron projection development	3	3	1.0
GO:0048522	biological_process	positive regulation of cellular process	3	3	1.0
GO:0048523	biological_process	negative regulation of cellular process	3	3	1.0
GO:0030424	cellular_component	axon	3	3	1.0
GO:0030425	cellular_component	dendrite	3	3	1.0
GO:0030426	cellular_component	growth cone	3	3	1.0
GO:0030427	cellular_component	site of polarized growth	3	3	1.0
GO:0030431	biological_process	sleep	3	3	1.0
GO:0031072	molecular_function	heat shock protein binding	3	3	1.0
GO:0009966	biological_process	regulation of signal transduction	3	3	1.0
GO:0080134	biological_process	regulation of response to stress	3	3	1.0
GO:0080135	biological_process	regulation of cellular response to stress	3	3	1.0
GO:0033673	biological_process	negative regulation of kinase activity	3	3	1.0
GO:0005515	molecular_function	protein binding	3	3	1.0
GO:1900034	biological_process	regulation of cellular response to heat	3	3	1.0
GO:0009987	biological_process	cellular process	3	3	1.0
GO:0097159	molecular_function	organic cyclic compound binding	3	3	1.0
GO:0035770	cellular_component	ribonucleoprotein granule	3	3	1.0
GO:0009991	biological_process	response to extracellular stimulus	3	3	1.0
GO:0048583	biological_process	regulation of response to stimulus	3	3	1.0
GO:0001764	biological_process	neuron migration	3	3	1.0
GO:0048588	biological_process	developmental cell growth	3	3	1.0
GO:0048589	biological_process	developmental growth	3	3	1.0
GO:0000226	biological_process	microtubule cytoskeleton organization	3	3	1.0
GO:0017124	molecular_function	SH3 domain binding	3	3	1.0
GO:0001774	biological_process	microglial cell activation	3	3	1.0
GO:0001775	biological_process	cell activation	3	3	1.0
GO:0019899	molecular_function	enzyme binding	3	3	1.0
GO:0097190	biological_process	apoptotic signaling pathway	3	3	1.0
GO:0097193	biological_process	intrinsic apoptotic signaling pathway	3	3	1.0
GO:0044087	biological_process	regulation of cellular component biogenesis	3	3	1.0
GO:0030516	biological_process	regulation of axon extension	3	3	1.0
GO:0010033	biological_process	response to organic substance	3	3	1.0
GO:0044089	biological_process	positive regulation of cellular component biogenesis	3	3	1.0
GO:0097202	biological_process	activation of cysteine-type endopeptidase activity	3	3	1.0
GO:0045298	cellular_component	tubulin complex	3	3	1.0
GO:0051881	biological_process	regulation of mitochondrial membrane potential	3	3	1.0
GO:0044092	biological_process	negative regulation of molecular function	3	3	1.0
GO:0044093	biological_process	positive regulation of molecular function	3	3	1.0
GO:0048638	biological_process	regulation of developmental growth	3	3	1.0
GO:0048639	biological_process	positive regulation of developmental growth	3	3	1.0
GO:0042995	cellular_component	cell projection	3	3	1.0
GO:0014069	cellular_component	postsynaptic density	3	3	1.0
GO:0047497	biological_process	mitochondrion transport along microtubule	3	3	1.0
GO:0070201	biological_process	regulation of establishment of protein localization	3	3	1.0
GO:0030545	molecular_function	receptor regulator activity	3	3	1.0
GO:0031638	biological_process	zymogen activation	3	3	1.0
GO:0030546	molecular_function	receptor activator activity	3	3	1.0
GO:0005575	cellular_component	cellular_component	3	3	1.0
GO:0045321	biological_process	leukocyte activation	3	3	1.0
GO:0006461	biological_process	protein complex assembly	3	3	1.0
GO:0007565	biological_process	female pregnancy	3	3	1.0
GO:0050767	biological_process	regulation of neurogenesis	3	3	1.0
GO:0050769	biological_process	positive regulation of neurogenesis	3	3	1.0
GO:0050770	biological_process	regulation of axonogenesis	3	3	1.0
GO:0043025	cellular_component	neuronal cell body	3	3	1.0
GO:0050772	biological_process	positive regulation of axonogenesis	3	3	1.0
GO:0048675	biological_process	axon extension	3	3	1.0
GO:0031667	biological_process	response to nutrient levels	3	3	1.0
GO:0007584	biological_process	response to nutrient	3	3	1.0
GO:0050789	biological_process	regulation of biological process	3	3	1.0
GO:0050790	biological_process	regulation of catalytic activity	3	3	1.0
GO:0050793	biological_process	regulation of developmental process	3	3	1.0
GO:0050794	biological_process	regulation of cellular process	3	3	1.0
GO:0006915	biological_process	apoptotic process	3	3	1.0
GO:0048699	biological_process	generation of neurons	3	3	1.0
GO:0050808	biological_process	synapse organization	3	3	1.0
GO:0043062	biological_process	extracellular structure organization	3	3	1.0
GO:0051960	biological_process	regulation of nervous system development	3	3	1.0
GO:0043065	biological_process	positive regulation of apoptotic process	3	3	1.0
GO:0043067	biological_process	regulation of programmed cell death	3	3	1.0
GO:0051962	biological_process	positive regulation of nervous system development	3	3	1.0
GO:0007610	biological_process	behavior	3	3	1.0
GO:0006508	biological_process	proteolysis	3	3	1.0
GO:0043068	biological_process	positive regulation of programmed cell death	3	3	1.0
GO:0007611	biological_process	learning or memory	3	3	1.0
GO:0007613	biological_process	memory	3	3	1.0
GO:0016485	biological_process	protein processing	3	3	1.0
GO:0050848	biological_process	regulation of calcium-mediated signaling	3	3	1.0
GO:0043085	biological_process	positive regulation of catalytic activity	3	3	1.0
GO:0043086	biological_process	negative regulation of catalytic activity	3	3	1.0
GO:1901214	biological_process	regulation of neuron death	3	3	1.0
GO:0007626	biological_process	locomotory behavior	3	3	1.0
GO:1901216	biological_process	positive regulation of neuron death	3	3	1.0
GO:0040008	biological_process	regulation of growth	3	3	1.0
GO:0007628	biological_process	adult walking behavior	3	3	1.0
GO:0016043	biological_process	cellular component organization	3	3	1.0
GO:0040011	biological_process	locomotion	3	3	1.0
GO:0072384	biological_process	organelle transport along microtubule	3	3	1.0
GO:0072386	biological_process	plus-end-directed organelle transport along microtubule	3	3	1.0
GO:0003008	biological_process	system process	3	3	1.0
GO:0008017	molecular_function	microtubule binding	3	3	1.0
GO:0050890	biological_process	cognition	3	3	1.0
GO:0030673	cellular_component	axolemma	3	3	1.0
GO:0050896	biological_process	response to stimulus	3	3	1.0
GO:0019220	biological_process	regulation of phosphate metabolic process	3	3	1.0
GO:0019222	biological_process	regulation of metabolic process	3	3	1.0
GO:0044238	biological_process	primary metabolic process	3	3	1.0
GO:0071813	molecular_function	lipoprotein particle binding	3	3	1.0
GO:0030534	biological_process	adult behavior	3	3	1.0
GO:0005488	molecular_function	binding	3	3	1.0
GO:0030705	biological_process	cytoskeleton-dependent intracellular transport	3	3	1.0
GO:0043170	biological_process	macromolecule metabolic process	3	3	1.0
GO:0032879	biological_process	regulation of localization	3	3	1.0
GO:0032880	biological_process	regulation of protein localization	3	3	1.0
GO:0048812	biological_process	neuron projection morphogenesis	3	3	1.0
GO:0032886	biological_process	regulation of microtubule-based process	3	3	1.0
GO:0044295	cellular_component	axonal growth cone	3	3	1.0
GO:0044297	cellular_component	cell body	3	3	1.0
GO:0008088	biological_process	axon cargo transport	3	3	1.0
GO:0008092	molecular_function	cytoskeletal protein binding	3	3	1.0
GO:0044304	cellular_component	main axon	3	3	1.0
GO:0043226	cellular_component	organelle	3	3	1.0
GO:0097418	cellular_component	neurofibrillary tangle	3	3	1.0
GO:0043227	cellular_component	membrane-bounded organelle	3	3	1.0
GO:0043228	cellular_component	non-membrane-bounded organelle	3	3	1.0
GO:0043229	cellular_component	intracellular organelle	3	3	1.0
GO:0043232	cellular_component	intracellular non-membrane-bounded organelle	3	3	1.0
GO:0048856	biological_process	anatomical structure development	3	3	1.0
GO:0043234	cellular_component	protein complex	3	3	1.0
GO:0048858	biological_process	cell projection morphogenesis	3	3	1.0
GO:0032928	biological_process	regulation of superoxide anion generation	3	3	1.0
GO:0032930	biological_process	positive regulation of superoxide anion generation	3	3	1.0
GO:0042116	biological_process	macrophage activation	3	3	1.0
GO:0097435	biological_process	fibril organization	3	3	1.0
GO:0048869	biological_process	cellular developmental process	3	3	1.0
GO:0048870	biological_process	cell motility	3	3	1.0
GO:0005102	molecular_function	receptor binding	3	3	1.0
GO:0043254	biological_process	regulation of protein complex assembly	3	3	1.0
GO:1901363	molecular_function	heterocyclic compound binding	3	3	1.0
GO:0097458	cellular_component	neuron part	3	3	1.0
GO:0008150	biological_process	biological_process	3	3	1.0
GO:0043280	biological_process	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	3	3	1.0
GO:0043281	biological_process	regulation of cysteine-type endopeptidase activity involved in apoptotic process	3	3	1.0
GO:0016234	cellular_component	inclusion body	3	3	1.0
GO:0051049	biological_process	regulation of transport	3	3	1.0
GO:0051051	biological_process	negative regulation of transport	3	3	1.0
GO:0032989	biological_process	cellular component morphogenesis	3	3	1.0
GO:0032990	biological_process	cell part morphogenesis	3	3	1.0
GO:0032991	cellular_component	macromolecular complex	3	3	1.0
GO:0009266	biological_process	response to temperature stimulus	3	3	1.0
GO:0005634	cellular_component	nucleus	3	3	1.0
GO:0016265	biological_process	death	3	3	1.0
