# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Wed Nov 28 13:50:17 PST 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0018193	biological_process	peptidyl-amino acid modification	5	5	1.0
GO:0031329	biological_process	regulation of cellular catabolic process	5	5	1.0
GO:0031331	biological_process	positive regulation of cellular catabolic process	5	5	1.0
GO:0031334	biological_process	positive regulation of protein complex assembly	5	5	1.0
GO:0005102	molecular_function	receptor binding	5	5	1.0
GO:1901360	biological_process	organic cyclic compound metabolic process	5	5	1.0
GO:0008134	molecular_function	transcription factor binding	5	5	1.0
GO:0018205	biological_process	peptidyl-lysine modification	5	5	1.0
GO:1901363	molecular_function	heterocyclic compound binding	5	5	1.0
GO:0043254	biological_process	regulation of protein complex assembly	5	5	1.0
GO:0032409	biological_process	regulation of transporter activity	5	5	1.0
GO:0032410	biological_process	negative regulation of transporter activity	5	5	1.0
GO:0098772	molecular_function	molecular function regulator	5	5	1.0
GO:0032411	biological_process	positive regulation of transporter activity	5	5	1.0
GO:0032412	biological_process	regulation of ion transmembrane transporter activity	5	5	1.0
GO:0032413	biological_process	negative regulation of ion transmembrane transporter activity	5	5	1.0
GO:0031347	biological_process	regulation of defense response	5	5	1.0
GO:0032414	biological_process	positive regulation of ion transmembrane transporter activity	5	5	1.0
GO:0043266	biological_process	regulation of potassium ion transport	5	5	1.0
GO:0006139	biological_process	nucleobase-containing compound metabolic process	5	5	1.0
GO:0043269	biological_process	regulation of ion transport	5	5	1.0
GO:0008150	biological_process	biological_process	5	5	1.0
GO:1901894	biological_process	regulation of calcium-transporting ATPase activity	5	5	1.0
GO:0043270	biological_process	positive regulation of ion transport	5	5	1.0
GO:0097458	cellular_component	neuron part	5	5	1.0
GO:1901379	biological_process	regulation of potassium ion transmembrane transport	5	5	1.0
GO:0043271	biological_process	negative regulation of ion transport	5	5	1.0
GO:1901380	biological_process	negative regulation of potassium ion transmembrane transport	5	5	1.0
GO:1901896	biological_process	positive regulation of calcium-transporting ATPase activity	5	5	1.0
GO:0034504	biological_process	protein localization to nucleus	5	5	1.0
GO:0000726	biological_process	non-recombinational repair	5	5	1.0
GO:0032970	biological_process	regulation of actin filament-based process	5	5	1.0
GO:0032434	biological_process	regulation of proteasomal ubiquitin-dependent protein catabolic process	5	5	1.0
GO:0098796	cellular_component	membrane protein complex	5	5	1.0
GO:0098797	cellular_component	plasma membrane protein complex	5	5	1.0
GO:0032436	biological_process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	5	5	1.0
GO:0051049	biological_process	regulation of transport	5	5	1.0
GO:0051050	biological_process	positive regulation of transport	5	5	1.0
GO:0051051	biological_process	negative regulation of transport	5	5	1.0
GO:0016247	molecular_function	channel regulator activity	5	5	1.0
GO:0032446	biological_process	protein modification by small protein conjugation	5	5	1.0
GO:0042176	biological_process	regulation of protein catabolic process	5	5	1.0
GO:0032991	cellular_component	macromolecular complex	5	5	1.0
GO:0044388	molecular_function	small protein activating enzyme binding	5	5	1.0
GO:0009266	biological_process	response to temperature stimulus	5	5	1.0
GO:0051641	biological_process	cellular localization	5	5	1.0
GO:0044389	molecular_function	ubiquitin-like protein ligase binding	5	5	1.0
GO:0006725	biological_process	cellular aromatic compound metabolic process	5	5	1.0
GO:0008152	biological_process	metabolic process	5	5	1.0
GO:0005634	cellular_component	nucleus	5	5	1.0
GO:1903506	biological_process	regulation of nucleic acid-templated transcription	5	5	1.0
GO:0005643	cellular_component	nuclear pore	5	5	1.0
GO:1903507	biological_process	negative regulation of nucleic acid-templated transcription	5	5	1.0
GO:0051090	biological_process	regulation of sequence-specific DNA binding transcription factor activity	5	5	1.0
GO:0005737	cellular_component	cytoplasm	5	5	1.0
GO:0005886	cellular_component	plasma membrane	5	5	1.0
GO:0051098	biological_process	regulation of binding	5	5	1.0
GO:0005654	cellular_component	nucleoplasm	5	5	1.0
GO:0051100	biological_process	negative regulation of binding	5	5	1.0
GO:0051101	biological_process	regulation of DNA binding	5	5	1.0
GO:0044419	biological_process	interspecies interaction between organisms	5	5	1.0
GO:0044422	cellular_component	organelle part	5	5	1.0
GO:1903522	biological_process	regulation of blood circulation	5	5	1.0
GO:0044424	cellular_component	intracellular part	5	5	1.0
GO:0044425	cellular_component	membrane part	5	5	1.0
GO:1902494	cellular_component	catalytic complex	5	5	1.0
GO:0044427	cellular_component	chromosomal part	5	5	1.0
GO:0044428	cellular_component	nuclear part	5	5	1.0
GO:1902495	cellular_component	transmembrane transporter complex	5	5	1.0
GO:0000785	cellular_component	chromatin	5	5	1.0
GO:0065007	biological_process	biological regulation	5	5	1.0
GO:0065008	biological_process	regulation of biological quality	5	5	1.0
GO:0042221	biological_process	response to chemical	5	5	1.0
GO:1904062	biological_process	regulation of cation transmembrane transport	5	5	1.0
GO:0065009	biological_process	regulation of molecular function	5	5	1.0
GO:1904063	biological_process	negative regulation of cation transmembrane transport	5	5	1.0
GO:1904064	biological_process	positive regulation of cation transmembrane transport	5	5	1.0
GO:0031965	cellular_component	nuclear membrane	5	5	1.0
GO:0033036	biological_process	macromolecule localization	5	5	1.0
GO:0000792	cellular_component	heterochromatin	5	5	1.0
GO:0016925	biological_process	protein sumoylation	5	5	1.0
GO:0045088	biological_process	regulation of innate immune response	5	5	1.0
GO:0032502	biological_process	developmental process	5	5	1.0
GO:0044444	cellular_component	cytoplasmic part	5	5	1.0
GO:0051128	biological_process	regulation of cellular component organization	5	5	1.0
GO:0044446	cellular_component	intracellular organelle part	5	5	1.0
GO:0051130	biological_process	positive regulation of cellular component organization	5	5	1.0
GO:0000803	cellular_component	sex chromosome	5	5	1.0
GO:0044451	cellular_component	nucleoplasm part	5	5	1.0
GO:0044452	cellular_component	nucleolar part	5	5	1.0
GO:0098900	biological_process	regulation of action potential	5	5	1.0
GO:0072657	biological_process	protein localization to membrane	5	5	1.0
GO:0005694	cellular_component	chromosome	5	5	1.0
GO:0043392	biological_process	negative regulation of DNA binding	5	5	1.0
GO:0044459	cellular_component	plasma membrane part	5	5	1.0
GO:0051704	biological_process	multi-organism process	5	5	1.0
GO:0034605	biological_process	cellular response to heat	5	5	1.0
GO:0044464	cellular_component	cell part	5	5	1.0
GO:0002682	biological_process	regulation of immune system process	5	5	1.0
