# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Mon Sep 24 19:41:59 PDT 2018
GO acc	GO aspect	GO name	count	total count	ratio
GO:0031328	biological_process	positive regulation of cellular biosynthetic process	5	5	1.0
GO:0031329	biological_process	regulation of cellular catabolic process	5	5	1.0
GO:0031331	biological_process	positive regulation of cellular catabolic process	5	5	1.0
GO:0060627	biological_process	regulation of vesicle-mediated transport	5	5	1.0
GO:0031334	biological_process	positive regulation of protein complex assembly	5	5	1.0
GO:1902930	biological_process	regulation of alcohol biosynthetic process	5	5	1.0
GO:1902932	biological_process	positive regulation of alcohol biosynthetic process	5	5	1.0
GO:0031347	biological_process	regulation of defense response	5	5	1.0
GO:0007249	biological_process	I-kappaB kinase/NF-kappaB signaling	5	5	1.0
GO:0010803	biological_process	regulation of tumor necrosis factor-mediated signaling pathway	5	5	1.0
GO:0031349	biological_process	positive regulation of defense response	5	5	1.0
GO:0002573	biological_process	myeloid leukocyte differentiation	5	5	1.0
GO:1901888	biological_process	regulation of cell junction assembly	5	5	1.0
GO:1901889	biological_process	negative regulation of cell junction assembly	5	5	1.0
GO:0007254	biological_process	JNK cascade	5	5	1.0
GO:2000303	biological_process	regulation of ceramide biosynthetic process	5	5	1.0
GO:0051604	biological_process	protein maturation	5	5	1.0
GO:2000304	biological_process	positive regulation of ceramide biosynthetic process	5	5	1.0
GO:0019915	biological_process	lipid storage	5	5	1.0
GO:0060664	biological_process	epithelial cell proliferation involved in salivary gland morphogenesis	5	5	1.0
GO:0010827	biological_process	regulation of glucose transport	5	5	1.0
GO:0007275	biological_process	multicellular organismal development	5	5	1.0
GO:0010829	biological_process	negative regulation of glucose transport	5	5	1.0
GO:2000332	biological_process	regulation of blood microparticle formation	5	5	1.0
GO:2000334	biological_process	positive regulation of blood microparticle formation	5	5	1.0
GO:1904019	biological_process	epithelial cell apoptotic process	5	5	1.0
GO:0046136	biological_process	positive regulation of vitamin metabolic process	5	5	1.0
GO:0044212	molecular_function	transcription regulatory region DNA binding	5	5	1.0
GO:0051641	biological_process	cellular localization	5	5	1.0
GO:0008152	biological_process	metabolic process	5	5	1.0
GO:2000341	biological_process	regulation of chemokine (C-X-C motif) ligand 2 production	5	5	1.0
GO:0060688	biological_process	regulation of morphogenesis of a branching structure	5	5	1.0
GO:2000343	biological_process	positive regulation of chemokine (C-X-C motif) ligand 2 production	5	5	1.0
GO:0031399	biological_process	regulation of protein modification process	5	5	1.0
GO:0031400	biological_process	negative regulation of protein modification process	5	5	1.0
GO:0031401	biological_process	positive regulation of protein modification process	5	5	1.0
GO:0060693	biological_process	regulation of branching involved in salivary gland morphogenesis	5	5	1.0
GO:0051649	biological_process	establishment of localization in cell	5	5	1.0
GO:0030278	biological_process	regulation of ossification	5	5	1.0
GO:0005886	cellular_component	plasma membrane	5	5	1.0
