Entry	Gene ontology IDs	Taxonomic lineage IDs
A0A2X4ZSM5		436295
E9XH30	GO:0004332; GO:0006096; GO:0008270	656449
F4V5Q8	GO:0004332; GO:0006096; GO:0008270	656444
F4T2P3	GO:0004332; GO:0006096; GO:0008270	656417
A0A1X3IWM0	GO:0004332; GO:0006096; GO:0008270	656447
F4NIY8	GO:0004332; GO:0006096; GO:0008270	556266
F4SPJ6	GO:0004332; GO:0006096; GO:0008270	656414
A0A1X3KZJ0	GO:0004332; GO:0006096; GO:0008270	656400
Q1R7A8	GO:0004332; GO:0006096; GO:0008270	364106
F4TKK9	GO:0004332; GO:0006096; GO:0008270	656419
F4VID5	GO:0004332; GO:0006096; GO:0008270	656408
A4WE70	GO:0004332; GO:0006096; GO:0008270	399742
D6I0P4	GO:0004332; GO:0006096; GO:0008270	550672
A0A1X3K691	GO:0004332; GO:0006096; GO:0008270	656403
A0A0H2VCS8	GO:0004332; GO:0006096; GO:0008270	199310
E9YU17	GO:0004332; GO:0006096; GO:0008270	656420
A0A090NWR7	GO:0004332; GO:0006096; GO:0008270	1401327
A0A1X3I2E5	GO:0004332; GO:0006096; GO:0008270	656415
D6ID16	GO:0004332; GO:0006096; GO:0008270	550676
A0A1X3JDX0	GO:0004332; GO:0006096; GO:0008270	656397
D2A755	GO:0004332; GO:0006096; GO:0008270	591020
A0A192CC08	GO:0004332; GO:0006096; GO:0008270	941280
W8ZVQ4	GO:0004332; GO:0006096; GO:0008270	941322
Q0T0X5	GO:0004332; GO:0006096; GO:0008270	373384
A0A1X3KH68	GO:0004332; GO:0006096; GO:0008270	656410
Q57K46	GO:0004332; GO:0006096; GO:0008270	321314
W1WZK1	GO:0004332; GO:0006096; GO:0008270	408170
I6BE42	GO:0004332; GO:0006096; GO:0008270	766158
A0A2K7ZE99	GO:0004332; GO:0006096; GO:0008270	1443113
B7MMA7	GO:0004332; GO:0006096; GO:0008270	585035
A0A0E2L1K6	GO:0004332; GO:0006096; GO:0008270	1281200
D6JER9	GO:0004332; GO:0006096; GO:0008270	550677
A0A0X4ELQ5	GO:0004332; GO:0006096; GO:0008270	1870955
A0A0E0VAH8	GO:0004332; GO:0006096; GO:0008270	1072459
A0A0E1M169	GO:0004332; GO:0006096; GO:0008270	745156
A0A1F2JR47	GO:0004332; GO:0006096; GO:0008270	1581094
G0F293	GO:0004332; GO:0006096; GO:0008270	1050617
A0A2S4SAJ8		2080660
A0A1U6IA28	GO:0004332; GO:0006096; GO:0008270	1566259
G5MN06	GO:0004332; GO:0006096; GO:0008270	913072
A0A0H2YLB5	GO:0004332; GO:0006096; GO:0008270	377628
A0A0U1R2R6	GO:0004332; GO:0006096; GO:0008270	349747
V7IVL3	GO:0004332; GO:0006096; GO:0008270	1192560
A0A0J0J3Z6	GO:0004332; GO:0006096; GO:0008270	1659714
I2UEI0	GO:0004332; GO:0006096; GO:0008270	869681
H4IFH3	GO:0004332; GO:0006096; GO:0008270	868134
S0VU36	GO:0004332; GO:0006096; GO:0008270	1169339
C8UFC9	GO:0004332; GO:0006096; GO:0008270	585396
V1H4F6	GO:0004332; GO:0006096; GO:0008270	1173950
A0A2T9UQS9		2041080
