Entry	Status	Gene ontology IDs	Organism ID	Protein names
G7PRJ0	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9541	Actin-depolymerizing factor
A0A2I3HAN3	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	61853	Uncharacterized protein
A0A2I3NC45	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9555	Uncharacterized protein
A0A2K5KN83	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9531	Uncharacterized protein
A0A2K6PF51	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	61622	Uncharacterized protein
A0A091CWM3	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	885580	Gelsolin
A0A2I3GAD5	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	61853	Uncharacterized protein
A0A2I2UTS2	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9685	Uncharacterized protein
G5AXS0	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	10181	Gelsolin
G3R3X5	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9595	Gelsolin
A0A2K5Y8T8	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9568	Uncharacterized protein
A0A340WWS0	unreviewed		118797	gelsolin isoform X1
A0A2K5WSV9	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9541	Uncharacterized protein
A0A2R9AWE7	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9597	Uncharacterized protein
F7HP21	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9544	Uncharacterized protein
H9Z838	unreviewed	GO:0005509; GO:0006911; GO:0030041; GO:0045010; GO:0051014; GO:0051015; GO:0051016; GO:0051693; GO:1903923	9544	Gelsolin isoform a
F6Y3P9	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9615	Gelsolin
A0A2K5Y8V3	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9568	Uncharacterized protein
A0A340WXE0	unreviewed		118797	gelsolin isoform X2
H0WLM9	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	30611	Gelsolin
A0A2K6JS45	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	61621	Uncharacterized protein
G1NSG7	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	59463	Uncharacterized protein
G3UMD4	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9785	Gelsolin
M3VZP6	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9685	Uncharacterized protein
A0A2J8WRG4	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9601	GSN isoform 4
A0A2Y9J982	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	391180	gelsolin isoform X1
W5P627	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9940	Uncharacterized protein
A0A2U3WR35	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9708	gelsolin isoform X1
A0A2K5R1I7	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	1737458	Uncharacterized protein
U3FVV5	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9483	Gelsolin isoform a
U3F2N1	unreviewed	GO:0005509; GO:0006911; GO:0030041; GO:0045010; GO:0051014; GO:0051015; GO:0051016; GO:0051693; GO:1903923	9483	Gelsolin isoform a
U3FAY2	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9483	Gelsolin isoform a
H2QXT3	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0051693; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9598	GSN isoform 3 (Gelsolin)
P06396	reviewed	GO:0001726; GO:0002102; GO:0003779; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0007568; GO:0010628; GO:0014003; GO:0014891; GO:0015629; GO:0016528; GO:0030027; GO:0030041; GO:0030155; GO:0030478; GO:0030864; GO:0031648; GO:0034774; GO:0042246; GO:0042989; GO:0043209; GO:0043312; GO:0044267; GO:0045010; GO:0045159; GO:0045335; GO:0045471; GO:0046597; GO:0048015; GO:0048471; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0051593; GO:0051693; GO:0060271; GO:0070062; GO:0071276; GO:0071346; GO:0071801; GO:0072562; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1904813; GO:1990000; GO:2001269	9606	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)
A0A0D9RLH2	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	60711	Gelsolin
F1N1I6	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	9913	Gelsolin
A0A1S3GBI8	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	10020	gelsolin isoform X1
A0A2I2ZDU1	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9595	Gelsolin
A0A2I3HTX0	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	61853	Uncharacterized protein
A0A2Y9FIA5	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9755	gelsolin isoform X1
A0A1S3AS74	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9365	gelsolin isoform X2
Q68FP1	reviewed	GO:0001726; GO:0002102; GO:0003779; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0006915; GO:0007568; GO:0008154; GO:0014003; GO:0014891; GO:0015629; GO:0016528; GO:0030027; GO:0030041; GO:0030155; GO:0030478; GO:0031648; GO:0032991; GO:0042060; GO:0042246; GO:0042989; GO:0043209; GO:0045010; GO:0045159; GO:0045335; GO:0045471; GO:0046597; GO:0048015; GO:0048471; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0051593; GO:0060271; GO:0071276; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	10116	Gelsolin (Actin-depolymerizing factor) (ADF) (Brevin)
P13020	reviewed	GO:0001726; GO:0002102; GO:0003779; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006911; GO:0006915; GO:0007568; GO:0008154; GO:0010628; GO:0014003; GO:0014891; GO:0015629; GO:0016192; GO:0016528; GO:0030027; GO:0030041; GO:0030155; GO:0030478; GO:0030864; GO:0031648; GO:0032991; GO:0042246; GO:0042989; GO:0043209; GO:0045010; GO:0045159; GO:0045335; GO:0045471; GO:0046597; GO:0048015; GO:0048471; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0051593; GO:0051693; GO:0060271; GO:0071276; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	10090	Gelsolin (Actin-depolymerizing factor) (ADF) (Brevin)
A0A1A6GMZ3	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	56216	Uncharacterized protein
A0A061HXN7	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	10029	Gelsolin
A0A1U7R6U4	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	10036	gelsolin isoform X1
A0A2K6FQF9	unreviewed	GO:0002102; GO:0005509; GO:0005615; GO:0005634; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0014891; GO:0016528; GO:0030027; GO:0030041; GO:0030478; GO:0031648; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0060271; GO:0071346; GO:0071801; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1990000; GO:2001269	379532	Uncharacterized protein
K9INR0	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9430	Putative cytoskeletal regulator flightless-i
G3SWV1	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	9785	Gelsolin
A0A2Y9FWH5	unreviewed	GO:0005509; GO:0045010; GO:0051014; GO:0051015; GO:0051016	127582	gelsolin isoform X2
