Entry	Status	Gene ontology IDs	Organism ID	Protein names
K7BKZ6	unreviewed		9598	NAD(P)H dehydrogenase, quinone 1
K7AZP9	unreviewed		9598	NAD(P)H dehydrogenase, quinone 1
A0A2R9ATG6	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	9597	Uncharacterized protein
A0A2K6LFM4	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	61621	Uncharacterized protein
A0A2K5TZM3	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	9541	Uncharacterized protein
Q2PFW1	unreviewed		9541	Uncharacterized protein
G3QL89	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0009055; GO:0016491; GO:0042802; GO:0043086	9595	NAD(P)H quinone dehydrogenase 1
A0A2K5ZPU3	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	9568	Uncharacterized protein
A0A2R9ATE6	unreviewed		9597	Uncharacterized protein
A0A2I3MM29	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	9555	Uncharacterized protein
A0A2K6RLR8	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	61622	Uncharacterized protein
A0A2K5L6L1	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	9531	Uncharacterized protein
A0A2J8VVT1	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	9601	NQO1 isoform 3
F6PFV8	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0009055; GO:0016491; GO:0042802; GO:0043086	9258	NAD(P)H quinone dehydrogenase 1
A0A1U7U7I1	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	1868482	NAD(P)H dehydrogenase [quinone] 1
A0A2K6C516	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0042802; GO:0043086	9545	NAD(P)H quinone dehydrogenase 1
K7DE06	unreviewed		9598	NAD(P)H dehydrogenase, quinone 1
H2QBF4	unreviewed	GO:0003955; GO:0005829; GO:0006979; GO:0009055; GO:0016491; GO:0042802; GO:0043086	9598	NAD(P)H quinone dehydrogenase 1 (NQO1 isoform 1)
