Entry	Status	Gene ontology IDs	Organism ID	Protein names
G5ANP4	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	10181	Lactotransferrin
A0A2K6CXA8	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	9545	Uncharacterized protein
A0A0D9RUM1	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	60711	Lactotransferrin
A0A2K6P073	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	61622	Uncharacterized protein
A0A2J8PAE9	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9598	LTF isoform 4
A0A2J8TFX2	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9601	LTF isoform 4 (Fragment)
A0A2K5RKD2	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	1737458	Uncharacterized protein
H0VHZ5	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	10141	Uncharacterized protein
A0A2J8TFG1	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9601	LTF isoform 1
H2PAY1	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	9601	Uncharacterized protein
G3QYG5	unreviewed	GO:0001530; GO:0002227; GO:0004252; GO:0004869; GO:0005506; GO:0005615; GO:0008201; GO:0009986; GO:0019731; GO:0019732; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033690; GO:0034145; GO:0042581; GO:0043123; GO:0043539; GO:0044218; GO:0044793; GO:0045071; GO:0045669; GO:0050829; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:1900229; GO:1902732; GO:2000117	9595	Lactotransferrin
A0A168G3E2	unreviewed	GO:0001817; GO:0004252; GO:0005506; GO:0005615; GO:0019731; GO:0019732	9593	Lactoferrin
