Entry	Gene ontology IDs	Taxonomic lineage IDs
A0A2P6LHP6	GO:0004820; GO:0005524; GO:0005737; GO:0006426	6915
R8WJQ6	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1169322
A0A106BZP2	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	56812
A0A2N1BQJ1	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	2058331
D3VF62	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	406817
A0A2N1EMZ0	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	2058330
A0A0R4FRJ2	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1437823
N1NM04	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1306162
A0A2M7LSV7	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1975535
A0A0A8NMB2	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1437826
Q08A46	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	318167
Q12TC1	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	318161
W1ERX9	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1432555
A0A2U8I765		1878942
A0A085HBY7	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1005999
A0A2X4U261		158841
A0A1B7JSE8	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1354272
C0AUJ5	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	471881
A0A0G3CFM3	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	82985
A0A1I1RZ52	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1122977
A0A0M0TD77	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	742178
A0A1D3DCR9	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1898038
R8ASB9	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1315976
V6MGT1	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1312367
A0A1A9B281	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	703
A0A2P1VRP9	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	703
A0A1Z1SQH0	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	584
A0A2J9L6U1	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	584
A0A205J5X6	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	584
A0A1B7JT03	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1354271
A0A0G4QGS9	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	585
A0A292C808	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	585
A0A0G4Q6C2	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	585
A0A094U5V8	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	585
A0A1F2K2Z6	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1581097
A0A2X4JQX1		333962
A0A2X2FIP7		703
A0A2X1X890		584
A0A2Y9TYZ0		2172103
B4EZ95	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	529507
I6B973	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	766158
A0A0E2KZ03	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1281200
A0A2K7ZC63	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1443113
A0A2N7DTX2	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1880834
D6JGM2	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	550677
A0A1F2JJQ8	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1581094
G0F2P4	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1050617
A0A0E0VBA4	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	1072459
A0A0E1M334	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	745156
A0A093SS80	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426	55207
