Entry	Status	Gene ontology IDs	Organism ID	Protein names
S9YRG0	unreviewed	GO:0004821; GO:0005524; GO:0005737; GO:0006427	419612	Histidyl-tRNA synthetase, cytoplasmic-like isoform 1
L9JUN1	unreviewed	GO:0004821; GO:0005524; GO:0005737; GO:0006427	246437	Histidyl-tRNA synthetase, cytoplasmic
A0A2F0BJ78	unreviewed	GO:0004821; GO:0005524; GO:0005737; GO:0006427	9764	Histidine--tRNA ligase, cytoplasmic (Fragment)
G5AR53	unreviewed	GO:0004812; GO:0005524; GO:0005737; GO:0006418	10181	Histidyl-tRNA synthetase, cytoplasmic
A0A2K6SH97	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	39432	Histidyl-tRNA synthetase
L8IAI7	unreviewed	GO:0004821; GO:0005524; GO:0005737; GO:0006427	72004	Histidyl-tRNA synthetase, cytoplasmic (Fragment)
A0A2Y9I7F2	unreviewed	GO:0004821; GO:0005524; GO:0005737; GO:0006427	29088	histidine--tRNA ligase, cytoplasmic isoform X1
A0A2K5EIC6	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	37293	Uncharacterized protein
A0A2R8MMN3	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	9483	Uncharacterized protein
A0A0P6JW30	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	10181	Histidine--tRNA ligase, cytoplasmic isoform 4
I3LZL2	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	43179	Uncharacterized protein
A0A250Y2B5	unreviewed	GO:0004821; GO:0005524; GO:0005737; GO:0006427	51338	Histidine--tRNA ligase, cytoplasmic
A0A2K6AZN8	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	9545	Uncharacterized protein
A0A2K6KG61	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	61621	Uncharacterized protein
G1SLD6	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	9986	Uncharacterized protein
G7P8H5	unreviewed	GO:0004821; GO:0005524; GO:0005737; GO:0006427	9541	Uncharacterized protein
A0A2K5U175	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	9541	Uncharacterized protein
G3RBJ3	unreviewed	GO:0004821; GO:0005524; GO:0005737; GO:0005739; GO:0005829; GO:0006427; GO:0032543; GO:0042802	9595	Uncharacterized protein
A0A2I3HLE1	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	61853	Uncharacterized protein
A0A341C0U5	unreviewed	GO:0016874	1706337	histidine--tRNA ligase, cytoplasmic
A0A2K5XKA5	unreviewed	GO:0004821; GO:0005524; GO:0005829; GO:0006427; GO:0042802	9568	Uncharacterized protein
