UniProt Accession Number	UPS1 Amount (fmol)	UPS2 Amount (fmol)	UniProt Protein Name [Synonym]	MW (Da)	Source or recombinant	Host	Tag	Potential PTMs
P00915	5,000	50,000	Carbonic anhydrase 1	28,738	Erythrocytes	 	 	Acetylation
P00918	5,000	50,000	Carbonic anhydrase 2	29,115	Erythrocytes	 	 	Acetylation
P01031	5,000	50,000	Complement C5 [Complement C5a]	8,536	Recombinant	E. coli	 	 
P69905	5,000	50,000	Hemoglobin alpha chain	15,126	Erythrocytes	 	 	 
P68871	5,000	50,000	Hemoglobin beta chain	15,867	Erythrocytes	 	 	Acetylation, nitrosylation, glycosylation
P41159	5,000	50,000	Leptin	16,158	Recombinant	E. coli	 	 
P02768	5,000	50,000	Serum Albumin	66,357	Recombinant	Pichia pastoris	 	 
P62988	5,000	50,000	Ubiquitin	10,597	Recombinant	E. coli	6-His	 
P04040	5,000	5,000	Catalase	59,625	Erythrocytes	 	 	 
P00167	5,000	5,000	Cytochrome b5	16,022	Recombinant	E. coli	6-His	 
P01133	5,000	5,000	Epidermal Growth Factor	6,353	Recombinant	E. coli	 	 
P02144	5,000	5,000	Myoglobin C	17,053	Heart	 	 	 
P15559	5,000	5,000	NAD(P)H dehydrogenase [quinone] 1 [DT Diaphorase] C	30,736	Recombinant	E. coli	 	 
P62937	5,000	5,000	Peptidyl-prolyl cis-trans isomerase A [Cyclophilin A]	20,176	Recombinant	E. coli	 	 
Q06830	5,000	5,000	Peroxiredoxin 1	21,979	Recombinant	E. coli	 	 
P63165	5,000	5,000	Small ubiquitin-related modifier 1 [SUMO-1]	38,815	Recombinant	E. coli	GST	 
P00709	5,000	500	Alpha-lactalbumin	14,078	Milk	 	 	Glycosylation
P06732	5,000	500	Creatine kinase M-type [CK-MM]	43,101	Heart	 	 	 
P12081	5,000	500	Histidyl-tRNA synthetase [Jo-1]	58,233	Recombinant	E. coli	 	 
P61626	5,000	500	Lysozyme C	14,701	Milk	 	 	 
Q15843	5,000	500	Neddylin [Nedd8]	9,072	Recombinant	E. coli	 	 
P02753	5,000	500	Retinol-binding protein	21,071	Urine	 	 	 
P16083	5,000	500	Ribosyldihydronicotinamide dehydrogenase [quinone] [Quinone oxidoreductase 2] [NQO2]	25,821	Recombinant	E. coli	 	 
P63279	5,000	500	Ubiquitin-conjugating enzyme E2 I [UbcH9]	18,007	Recombinant	E. coli	 	 
P01008	5,000	50	Antithrombin-III	49,039	Plasma	 	 	Glycosylation
P61769	5,000	50	Beta-2-microglobulin	11,731	Urine	 	 	 
P55957	5,000	50	BH3 Interacting domain death agonist [BID]	21,995	Recombinant	E. coli	 	 
O76070	5,000	50	Gamma-synuclein	15,363	Recombinant	E. coli	 	 
P08263	5,000	50	Glutathione S-transferase A1 [GST A1-1]	25,500	Recombinant	E. coli	 	 
P01344	5,000	50	Insulin-like growth factor II	7,475	Recombinant	E. coli	 	 
P01127	5,000	50	Platelet-derived growth factor B chain	12,294	Recombinant	E. coli	 	 
P10599	5,000	50	Thioredoxin	12,429	Recombinant	E. coli	6-His	 
P99999	5,000	5	Cytochrome c[Apocytochrome c]	11,618	Recombinant	E. coli	 	 
P06396	5,000	5	Gelsolin	82,959	Plasma	 	 	Phosphorylation
P09211	5,000	5	Glutathione S-transferase P [GST]	23,225	Placenta	 	 	 
P01112	5,000	5	GTPase HRas [Ras protein]	21,298	Recombinant	E. coli	 	 
P01579	5,000	5	Interferon gamma (IFN-gamma)	16,879	Recombinant	E. coli	 	 
P02787	5,000	5	Serotransferrin [Apotransferrin]	75,181	Plasma	 	 	Glycosylation
O00762	5,000	5	Ubiquitin-conjugating enzyme E2 C [UbcH10]	20,475	Recombinant	E. coli	6-His	 
P51965	5,000	5	Ubiquitin-conjugating enzyme E2 E1 [UbcH6]	22,227	Recombinant	E. coli	6-His	 
P08758	5,000	0.5	Annexin A 5	35,806	Placenta	 	 	Acetylation
P02741	5,000	0.5	C-reactive protein	23,047	Plasma	 	 	 
P05413	5,000	0.5	Fatty acid-binding protein	14,727	Plasma	 	 	Acetylation, phosphorylation
P10145	5,000	0.5	Interleukin-8	8,386	Recombinant	E. coli	 	 
P02788	5,000	0.5	Lactotransferrin	76,165	Milk	 	 	Glycosylation
P10636	5,000	0.5	Microtubule-associated protein tau [Tau protein]	45,719	Recombinant	E. coli	6-His	 
P00441	5,000	0.5	Superoxide dismutase [Cu-Zn]	15,805	Erythrocytes	 	 	Acetylation
P01375	5,000	0.5	Tumor necrosis factor [TNF-alpha]	17,353	Recombinant	E. coli		
