Entry	Gene ontology IDs	Taxonomic lineage IDs
B4DPP6	GO:0005615	9606
G3S791	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0051087; GO:0051659; GO:0070062	9595
A0A2I3H4J6	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0051087; GO:0051659; GO:0070062	61853
A0A2J8UTX1	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0051087; GO:0051659; GO:0070062	9601
B2RBS8	GO:0005615	9606
Q56G89	GO:0005615	9606
Q5NVH5	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0046872; GO:0051087; GO:0051659; GO:0070062	9601
P02768	GO:0001895; GO:0002576; GO:0003677; GO:0005504; GO:0005507; GO:0005576; GO:0005615; GO:0005634; GO:0005783; GO:0005788; GO:0005794; GO:0006898; GO:0008144; GO:0009267; GO:0015643; GO:0016209; GO:0019836; GO:0030170; GO:0031093; GO:0032991; GO:0034375; GO:0042802; GO:0043066; GO:0043069; GO:0043209; GO:0043687; GO:0044267; GO:0051087; GO:0051659; GO:0070062; GO:0072562	9606
A8K9P0	GO:0005615	9606
A0A2I3HTD4	GO:0005615	61853
G3RE98	GO:0005615	9595
G1R8T8	GO:0005615	61853
A0A2J8UTX5	GO:0005615	9601
A0A0C4DGB6	GO:0005615; GO:0005783; GO:0005794	9606
A0A2I2Z0F7	GO:0005615	9595
F6KPG5	GO:0005615	9606
A0A2I2Y6C1	GO:0005615	9595
A0A2I3GDQ7	GO:0005615	61853
A0A2J8UTW0	GO:0005615	9601
A0A2J8UTW6	GO:0005615	9601
A0A087WWT3	GO:0005615; GO:0005783; GO:0005794	9606
P02768-3		9606
A0A2J8UTW9	GO:0005615	9601
H7C013	GO:0005615; GO:0005783; GO:0005794	9606
A0A2K6E6L1	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0051087; GO:0051659; GO:0070062	9545
A0A2K5MVS7	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0051087; GO:0051659; GO:0070062	9531
G7MT40	GO:0005615	9544
F7HCG4	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0051087; GO:0051659; GO:0070062	9544
G7P5L7	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0051087; GO:0051659; GO:0070062	9541
A2V9Z4	GO:0005615; GO:0008289; GO:0046872	9541
A0A2K6E6L0	GO:0005615	9545
A0A2K5TS45	GO:0005615	9541
A0A2K6A6R3	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0051087; GO:0051659; GO:0070062	9568
A0A2K5MVX4	GO:0005615	9531
A0A2K5IRP6	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0051087; GO:0051659; GO:0070062	336983
F7HCH0	GO:0005615	9544
Q28522	GO:0003677; GO:0005504; GO:0005615; GO:0008144; GO:0009267; GO:0015643; GO:0019836; GO:0030170; GO:0032991; GO:0043066; GO:0046872; GO:0051659	9544
A0A2K6A6R8	GO:0005615	9568
F7HCH2	GO:0005615	9544
A0A2I3LVU7	GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0019836; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0051087; GO:0051659; GO:0070062	9555
A0A096MVE5	GO:0005615	9555
A0A2K5ISC4	GO:0005615	336983
A0A2K5TS60	GO:0005615	9541
A0A2K5MVT1	GO:0005615	9531
A0A2K5ISA7	GO:0005615	336983
A0A2K6E6L6	GO:0005615	9545
A0A2K6A6W7	GO:0005615	9568
F7HCG5	GO:0005615	9544
A0A2I3LQM9	GO:0005615	9555
F6WBF9	GO:0005615	9544
